date_time,patuxent,seneca,occoquan
2022-09-22,5.142135816,1.93138511,4.945599846
2022-09-23,5.094228296,1.929280363,4.881249005
2022-09-24,4.95145095,1.926145934,4.860082177
2022-09-25,4.904428756,1.924328208,4.876816994
2022-09-26,5.046346778,1.922510792,4.871596508
2022-09-27,4.998491249,1.920693687,4.841036363
2022-09-28,4.857424659,1.918876892,4.893551295
2022-10-01,4.811558169,1.917060406,4.910285073
2022-10-02,4.765709333,1.90182648,4.890279866
2022-09-29,4.719878142,1.901013962,4.846490579
2022-09-30,4.674064591,1.900201584,4.830759442
2022-10-03,4.628268672,1.895144782,4.813205614
2022-10-04,4.58249038,1.894222847,4.777013714
2022-10-05,4.537849222,1.893411627,4.752133673
2022-10-06,4.493225246,1.892600546,4.727372708
2022-10-07,4.448618444,1.891789603,4.705103856
2022-10-08,4.402909295,1.88813575,4.680936032
2022-10-09,4.357217738,1.88732557,4.649380378
2022-10-10,4.312663283,1.883834556,4.623515147
2022-10-11,4.268125976,1.850148911,4.592905867
2022-10-12,4.224725326,1.847372779,4.535611889
2022-10-13,4.181703508,1.835875274,4.505844563
2022-10-14,4.13833612,1.824547441,4.453170389
2022-10-15,4.094985423,1.824547441,4.402453867
2022-10-16,4.268125976,1.88732557,4.592905867
2022-10-17,4.224725326,1.883834556,4.535611889
2022-10-18,4.181703508,1.850148911,4.505844563
2022-10-19,4.13833612,1.847372779,4.453170389
2022-10-20,4.094985423,1.835875274,4.402453867
