date,unity,cattail,hawlings,kitzmiller,barnum,barton,bloomington,luke,wills,nbp_cumb,patterson,sbr,town,pawpaw,sideling,cacapon,hancock,conoco,opequon,antietam,shen_mill,por,monoc_jug,bennett,goose,seneca,lfalls,cedar
2021-10-19,16.6,12.9,7.83,113,253,6.81,61,327,53.1,410,20.4,246,25.8,809,10.8,104,926,204,113,220,1150,3200,365,30,63.8,52.9,3420,7.05
2021-10-20,16.3,12.7,7.83,113,252,6.33,61,326,50.4,405,19.2,237,23.4,785,9.08,105,901,191,112,218,1100,3030,353,28.8,57.6,51.6,3320,6.61
2021-10-21,15.9,12.6,7.99,114,252,6.39,61.1,328,49.2,405,18.5,229,22.2,772,7.82,102,878,183,110,211,1040,2900,338,28.9,54.8,51.2,3160,6.91
2021-10-22,15.4,12,8.25,127,251,7.06,61,329,49.3,411,18.6,225,22.2,774,7.25,100,870,178,109,193,1020,2830,329,28.7,52.6,50.5,3040,6.82
2021-10-23,15.8,12,8.3,139,250,7.61,61,328,48.7,406,18.4,218,21.5,765,6.68,97.3,863,174,107,208,975,2730,323,28.7,52.1,50.2,2930,6.97
2021-10-24,16.1,12.3,8.48,131,251,8.1,61,327,49.3,405,18.1,210,21.1,753,6.46,96.3,848,181,102,215,940,2660,322,28.7,51.1,50.4,2880,6.97
2021-10-25,20.7,19.7,26.9,116,251,7.54,61,328,50.6,405,18.7,212,21.2,747,6.13,94.9,837,178,103,200,923,2710,383,33.4,55.1,72.3,3440,34.3
2021-10-26,51.8,51.9,55,113,251,8.01,61,328,50.8,410,21,215,23.4,766,5.76,94.9,828,175,105,208,978,2810,800,83.8,145,305,5530,211
2021-10-27,21.7,17.8,12.8,189,250,7.93,60.8,325,48.9,406,22.9,210,22.2,746,5.51,94.4,838,170,102,230,962,2730,732,38.6,116,101,3890,29.2
2021-10-28,19.1,15.4,9.15,162,249,8.01,60.3,324,48.5,402,22.6,211,20.9,738,6.07,91.6,823,176,102,213,904,2510,525,33.6,76.6,78.7,3500,14.3
2021-10-29,199,195,174,1490,274,127,66.1,518,229,767,49.9,266,28.1,824,15.7,128,954,223,126,253,1070,3520,813,162,917,332,4610,569
2021-10-30,94.7,62,65.9,1240,313,135,96,520,423,1480,142,1220,130,2370,107,414,1410,800,360,514,2250,5000,5520,118,1290,363,8780,453
2021-10-31,38.3,28,20.2,1280,341,105,111,566,295,1110,153,2950,76.5,4330,69.3,1070,4400,643,205,340,3090,6960,2020,62.5,435,154,11500,164
2021-11-01,30,23,13.3,846,341,80.9,110,537,231,951,141,2610,53.1,4390,47.9,971,5560,459,156,265,6110,11900,1270,49.8,276,104,10000,85.3
2021-11-02,28,21.7,10.6,641,340,61.2,110,523,188,838,115,1680,42.5,3280,35.1,675,4530,377,139,257,5580,13900,972,50.3,216,92.8,14200,57.5
2021-11-03,27.7,20.7,9.87,537,339,48.1,110,514,160,773,93.2,1210,36.2,2580,28,482,3470,328,129,243,4080,10900,867,48.5,212,89.3,13300,51.2
2021-11-04,25.1,19.4,8.94,454,339,38.9,109,509,141,727,75.4,963,32.6,2160,23,369,2810,295,122,228,3270,8490,748,42.8,179,80.7,10600,35.8
2021-11-05,23.9,18.7,8.57,402,338,32.6,109,505,126,698,60.7,807,30.8,1910,19.9,304,2390,274,117,217,2710,7150,670,41,159,74.9,8670,26.1
2021-11-06,23.2,18.3,8.66,333,339,27.5,109,501,113,672,50.7,701,29.3,1720,17.8,258,2100,257,113,215,2240,6110,615,39.8,144,72.3,7410,21.6
2021-11-07,22.7,18.1,8.7,316,338,24.3,109,499,104,653,44.8,624,27.8,1580,15.9,219,1880,244,110,209,1950,5460,575,39.5,137,70.6,6420,21
2021-11-08,22.2,17.8,8.35,304,338,21.4,109,496,97.3,642,40.3,562,26.8,1480,14.5,192,1730,235,108,206,1770,4960,545,38.1,133,69.2,5730,18.2
2021-11-09,21.7,17.1,8.21,286,337,19.1,109,495,91.1,630,36.9,514,26.1,1400,13.5,176,1620,228,108,204,1640,4650,519,37.2,125,68.2,5290,15.7
2021-11-10,21.7,17.3,8.14,268,337,17.9,109,494,85.8,620,34.5,475,25.2,1330,12.7,164,1540,222,105,215,1550,4360,499,36.6,118,71.9,4990,14.6
2021-11-11,20.9,17.7,8.04,251,336,16.1,91,475,81,612,32.3,440,24.4,1270,11.9,154,1460,212,102,202,1460,4140,479,35.6,113,69.9,4670,13.6
2021-11-12,33.5,29.8,19.9,263,337,20.2,81.7,468,142,682,39.8,453,49.6,1340,28.1,179,1560,1230,377,266,1470,4230,625,57.6,144,130,4870,41.6
2021-11-13,26.9,21.5,13.3,252,336,19.5,81.5,460,140,689,39.2,478,160,1580,109,594,1990,1770,462,346,2590,6910,1550,47.2,270,99.9,5260,38.2
2021-11-14,24.1,19.2,10.2,234,336,16.6,81.5,457,109,629,35.9,480,89.9,1450,66.7,702,2390,999,241,255,3210,9200,908,41.1,179,81.7,9370,23.4
2021-11-15,23.2,18,9.23,234,336,16.5,81.5,456,102,610,32.8,486,68.5,1380,50.5,489,1990,757,188,239,3550,8950,734,39.1,150,75.7,9810,18.1
2021-11-16,22,17.4,8.63,227,335,15.3,81.5,454,97,596,30.4,466,57.5,1340,40.6,387,1810,620,162,242,3080,7550,638,36.7,132,70.9,9000,16.1
2021-11-17,21.6,17.1,8.39,239,334,14.7,81.5,454,90.9,588,28.6,439,49.6,1290,33,327,1690,538,150,232,2620,6570,580,35.8,123,69,7700,13.9
2021-11-18,21.4,17.1,8.45,237,332,14.3,81.5,451,88,580,27.6,415,44.9,1240,28.6,285,1590,482,141,220,2330,5940,548,36.1,123,68.7,6750,13.7
2021-11-19,21.7,17.5,8.64,234,330,13.7,81.5,447,84.3,570,26.9,393,41.5,1190,25.6,248,1500,437,131,216,2120,5460,532,36.9,122,70.7,6160,12.7
2021-11-20,20.7,16.4,8.38,210,329,12.6,81.5,445,80.2,562,25.6,378,37.9,1150,22.5,220,1420,403,122,210,1920,5020,506,34.2,110,66.8,5650,12.2
2021-11-21,21.2,16.5,8.55,199,330,12.3,81.5,445,78,556,24.5,363,35.4,1130,19.9,198,1370,369,121,206,1770,4670,476,34.2,105,66.1,5250,10.7
2021-11-22,22,17.2,8.93,208,328,13.3,69.6,433,80.7,559,24.1,347,35,1110,18.6,183,1330,361,121,202,1640,4460,469,37,106,70.2,4940,11.3
2021-11-23,20.8,16.8,10.8,197,328,12.8,61,420,80.1,539,24.3,333,34.4,1090,18,172,1290,344,119,218,1580,4340,467,34.1,106,68.1,4710,12.1
2021-11-24,20.3,16.2,9.72,180,310,11.7,61,403,75.3,530,23.1,323,32.4,1050,16.9,164,1260,318,116,214,1510,4150,447,32.4,100,65.3,4550,11.2
2021-11-25,20.3,16.2,9.64,179,298,11.8,61,385,72.6,500,22.9,315,30.7,1030,15.5,156,1230,301,112,197,1450,3950,425,32.7,96.4,66.1,4410,9.89
2021-11-26,20.5,16.3,10.1,195,297,12.8,61,386,74.4,500,23.1,306,29.8,993,14.4,149,1180,287,108,195,1380,3770,416,33.4,96,65.7,4260,10.3
2021-11-27,19.7,15.9,9.56,194,284,12.3,61,374,76.6,499,22.6,295,28.5,983,13.6,143,1130,270,103,192,1320,3650,402,30.4,94.7,64.4,4030,11
2021-11-28,19.8,16.1,9.56,180,273,11.4,61,357,72.7,475,22.4,290,27.6,964,12.9,137,1120,263,102,193,1290,3540,390,31.4,91,63.2,3940,10.1
2021-11-29,19.1,16.4,9.54,185,273,11.3,60.2,357,70.7,466,21.9,285,27.1,935,12.5,133,1100,254,104,182,1260,3490,385,31.2,88.4,63.6,3780,9.27
2021-11-30,18.9,15.8,9.43,174,273,10.8,60.1,357,68.8,467,21.5,278,26.4,924,12,129,1070,247,102,207,1220,3450,374,30.1,85.5,61.7,3700,11.8
2021-12-01,19.1,15.4,9.35,170,273,10.3,60.1,357,66.5,459,21.3,273,25.6,902,11.6,126,1050,239,99.6,200,1200,3340,369,30.4,82,61.8,3660,11.4
2021-12-02,19.1,15.6,9.53,169,273,10.8,60.1,358,67.8,462,21.5,267,25.4,894,11.3,124,1030,235,99.4,193,1170,3260,365,30,81.6,62.2,3560,11.3
2021-12-03,19,15.3,9.5,184,272,12,60.1,357,69.8,462,21.4,259,24.9,887,10.8,120,1020,228,98.8,185,1140,3190,387,29.8,81.6,63.6,3500,9.8
2021-12-04,18.5,15.1,9.44,163,271,11.2,60.1,356,67.4,460,21.3,253,24.2,877,10.5,117,1010,222,96.6,183,1120,3090,390,28.7,80.4,62.6,3430,9.15
2021-12-05,18.1,15.1,9.4,143,271,10.3,60.1,356,63.5,452,20.8,251,23.3,862,9.97,114,994,213,96,174,1060,2990,375,28.7,76.9,62.8,3370,9.15
2021-12-06,18.5,15.4,9.54,150,271,10.3,60.1,356,61.3,451,20.9,248,22.5,857,9.49,111,975,207,93.8,162,1040,3000,365,29.7,75.5,62.5,3190,9.15
2021-12-07,17.6,15,10.1,205,270,10.3,60.1,354,60.8,448,20.9,243,21.7,845,8.99,107,961,203,91.1,180,1040,2970,364,28.3,75.8,63.2,3210,9.22
2021-12-08,17.7,15.2,10,189,270,10.1,60.1,353,60.2,445,20.5,236,21.3,836,8.59,105,947,202,90.9,181,1030,2880,360,28,75.1,61.1,3190,9.64
2021-12-09,17.7,14.7,9.96,185,270,9.79,59.2,351,59.5,444,19.7,235,20.7,828,8.21,102,934,198,89.8,183,991,2840,355,27.7,73.6,61.7,3110,8.92
2021-12-10,18,14.7,9.74,174,270,10.1,59.3,353,58.6,444,19.5,237,20.7,831,7.98,101,929,191,89.2,172,977,2790,349,27.5,73.5,61.4,3030,8.68
2021-12-11,18.1,15.1,10.2,189,270,11.2,60.1,355,61.1,453,20.1,234,20.8,834,8.01,102,934,189,88.7,170,978,2730,348,28.5,75,63.1,3010,8.86
2021-12-12,18.8,15.8,11.3,192,270,11.4,59.5,354,62.4,452,19.8,232,20.7,829,7.89,101,931,186,87.5,159,926,2690,352,28.4,77.1,70.4,3030,9.35
2021-12-13,17.7,15,11,175,262,9.91,54.3,345,60.8,448,19.2,230,20.5,824,7.72,99.2,926,183,86.7,157,927,2710,347,27,74.6,63.7,2900,9.58
2021-12-14,17.5,14.6,10.9,158,246,9.32,50.8,322,56.6,427,18.6,233,19.8,817,7.36,97,919,178,86.5,170,952,2720,332,26.1,69.8,62.2,2930,9.15
2021-12-15,17.4,14.6,10.8,129,246,9.2,50.8,322,54.6,409,18.5,237,19.2,798,7.14,96.4,915,174,85.8,178,933,2670,315,26,68.3,61.1,2910,9.15
2021-12-16,17.4,14.7,11,116,246,9.19,50.7,323,54.2,405,18.7,232,18.7,795,7.05,94.9,894,172,85.7,176,908,2620,298,27.1,68.3,61.3,2840,9.25
2021-12-17,17.1,14.6,10.9,110,245,9.62,51.1,324,54.2,405,19.3,226,18.5,779,6.83,94.9,889,171,85,165,920,2620,294,26.9,70.9,62.4,2780,9.69
2021-12-18,16.9,14.6,11.1,118,246,12.2,51.1,325,61.3,415,20.5,228,19.2,784,7.04,95,881,172,83.8,169,892,2560,301,26.7,69.9,62.7,2800,9.69
2021-12-19,17,14.5,11.3,240,246,19.7,50.7,323,73.4,430,21.5,228,19.9,794,7.23,97.2,883,176,83,165,865,2550,316,25.9,71.1,63.2,2700,9.5
2021-12-20,16.6,14.1,11.1,221,246,19.3,50.3,321,72.8,428,21.5,228,21.7,804,7.51,95.8,892,176,80.7,164,861,2520,306,25,69.3,59.7,2670,9.62
2021-12-21,16.8,14.2,11.3,189,245,19.4,50.3,321,65.4,420,21,228,21.5,798,8.17,93.9,897,169,80.2,162,869,2640,289,24.5,68.3,58.8,2690,9.61
2021-12-22,16.9,14.3,11.8,178,245,20.5,50.3,321,63.6,414,21,227,19.8,785,8.18,92.7,887,165,80.6,161,866,2560,283,24,68.3,60,2770,9.31
2021-12-23,16.3,13.9,11,150,245,19.3,50.3,320,61.9,407,20.8,223,21,779,7.29,90.7,873,159,79,159,847,2510,281,23,68.3,58.9,2640,8.74
2021-12-24,16.6,13.9,10.8,131,244,20,50.3,321,63.2,409,20.9,219,18.8,775,7.43,90.6,868,159,78.3,158,842,2470,277,23.5,65.9,59.4,2600,8.9
2021-12-25,17.2,14.7,11.6,145,246,44.6,52.1,333,70.7,424,21.5,219,19.2,783,7.09,90.3,867,157,79.3,154,845,2470,271,24.8,65.7,60.8,2610,8.75
2021-12-26,22.6,17.1,15.7,486,246,179,52,354,97.7,539,24.9,222,20.4,835,7.69,97,893,165,82.5,155,858,2480,282,35.8,74.3,103,2720,9.15
2021-12-27,18.6,15.1,12.5,330,246,118,61.8,347,113,550,24.3,223,20.3,950,8.42,98.3,945,172,84.1,159,843,2490,289,27.5,76.9,76.7,2690,9.37
2021-12-28,18.4,15.6,11.8,636,247,106,67.8,344,278,675,24.9,236,22.1,959,9.43,98.9,1050,183,80.4,169,823,2620,300,26.3,73,70.1,2660,8.86
2021-12-29,18.3,15.3,11.7,1080,335,120,94.2,483,445,872,28.5,255,32.1,1200,11.5,99.2,1080,188,81.1,168,816,2620,310,26.5,69.8,68.3,2780,8.83
2021-12-30,22.5,18.7,14.2,1070,390,165,150,630,543,1250,36.6,271,39.6,1590,16.4,104,1370,209,86.1,170,846,2790,350,36.1,75.3,81.7,2870,9.82
2021-12-31,21.3,17.1,13.7,770,390,156,264,749,496,1300,46.3,350,57.4,1870,25.7,108,1780,230,99.3,172,846,2970,373,33.1,89.3,81.8,3090,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
