date_time,jrr_total,jrr_ws,savage,hour,minute,date
2022-06-22T20:30:00Z,28.95154072,13.1,4.561908947,16,30,6/22/2022
2022-06-22T20:45:00Z,28.95154072,13.1,4.561908947,16,45,6/22/2022
2022-06-22T21:00:00Z,28.95154072,13.1,4.561908947,17,0,6/22/2022
2022-06-22T21:15:00Z,28.95154072,13.1,4.561908947,17,15,6/22/2022
2022-06-22T21:30:00Z,28.95154072,13.1,4.561908947,17,30,6/22/2022
2022-06-22T21:45:00Z,28.95154072,13.1,4.561908947,17,45,6/22/2022
2022-06-22T22:00:00Z,28.95154072,13.1,4.561908947,18,0,6/22/2022
2022-06-22T22:15:00Z,28.95154072,13.1,4.561908947,18,15,6/22/2022
2022-06-22T22:30:00Z,28.95154072,13.1,4.561908947,18,30,6/22/2022
2022-06-22T22:45:00Z,28.95154072,13.1,4.561908947,18,45,6/22/2022
2022-06-22T23:00:00Z,28.95154072,13.1,4.561908947,19,0,6/22/2022
2022-06-22T23:15:00Z,28.95154072,13.1,4.561908947,19,15,6/22/2022
2022-06-22T23:30:00Z,28.95154072,13.1,4.561908947,19,30,6/22/2022
2022-06-22T23:45:00Z,28.95154072,13.1,4.561908947,19,45,6/22/2022
2022-06-23T00:00:00Z,28.95154072,13.1,4.561908947,20,0,6/22/2022
2022-06-23T00:15:00Z,28.95154072,13.1,4.561908947,20,15,6/22/2022
2022-06-23T00:30:00Z,28.95154072,13.1,4.561908947,20,30,6/22/2022
2022-06-23T00:45:00Z,28.95154072,13.1,4.561908947,20,45,6/22/2022
2022-06-23T01:00:00Z,28.95154072,13.1,4.561908947,21,0,6/22/2022
2022-06-23T01:15:00Z,28.95154072,13.1,4.561908947,21,15,6/22/2022
2022-06-23T01:30:00Z,28.95154072,13.1,4.561908947,21,30,6/22/2022
2022-06-23T01:45:00Z,28.95154072,13.1,4.561908947,21,45,6/22/2022
2022-06-23T02:00:00Z,28.95154072,13.1,4.561908947,22,0,6/22/2022
2022-06-23T02:15:00Z,28.95154072,13.1,4.561908947,22,15,6/22/2022
2022-06-23T02:30:00Z,28.95154072,13.1,4.561908947,22,30,6/22/2022
2022-06-23T02:45:00Z,28.95154072,13.1,4.561908947,22,45,6/22/2022
2022-06-23T03:00:00Z,28.95154072,13.1,4.561908947,23,0,6/22/2022
2022-06-23T03:15:00Z,28.95154072,13.1,4.561908947,23,15,6/22/2022
2022-06-23T03:30:00Z,28.95154072,13.1,4.561908947,23,30,6/22/2022
2022-06-23T03:45:00Z,28.95154072,13.1,4.561908947,23,45,6/22/2022
2022-06-23T04:00:00Z,28.85043885,13.1,4.531795389,0,0,6/23/2022
2022-06-23T04:15:00Z,28.85043885,13.1,4.531795389,0,15,6/23/2022
2022-06-23T04:30:00Z,28.85043885,13.1,4.531795389,0,30,6/23/2022
2022-06-23T04:45:00Z,28.85043885,13.1,4.531795389,0,45,6/23/2022
2022-06-23T05:00:00Z,28.85043885,13.1,4.531795389,1,0,6/23/2022
2022-06-23T05:15:00Z,28.85043885,13.1,4.531795389,1,15,6/23/2022
2022-06-23T05:30:00Z,28.85043885,13.1,4.531795389,1,30,6/23/2022
2022-06-23T05:45:00Z,28.85043885,13.1,4.531795389,1,45,6/23/2022
2022-06-23T06:00:00Z,28.85043885,13.1,4.531795389,2,0,6/23/2022
2022-06-23T06:15:00Z,28.85043885,13.1,4.531795389,2,15,6/23/2022
2022-06-23T06:30:00Z,28.85043885,13.1,4.531795389,2,30,6/23/2022
2022-06-23T06:45:00Z,28.85043885,13.1,4.531795389,2,45,6/23/2022
2022-06-23T07:00:00Z,28.85043885,13.1,4.531795389,3,0,6/23/2022
2022-06-23T07:15:00Z,28.85043885,13.1,4.531795389,3,15,6/23/2022
2022-06-23T07:30:00Z,28.85043885,13.1,4.531795389,3,30,6/23/2022
2022-06-23T07:45:00Z,28.85043885,13.1,4.531795389,3,45,6/23/2022
