date_time,unity,cattail,hawlings,kitzmiller,barnum,barton,bloomington,luke,wills,nbp_cumb,patterson,sbr,town,pawpaw,sideling,cacapon,hancock,conoco,opequon,antietam,shen_mill,por,monoc_jug,bennett,goose,seneca,lfalls,cedar
2022-01-01,8,7,7,482,193,132,135,363,351,650,23,145,21,650,12,39,638,71,30,54,269,1059,128,13,30,37,554.0890000000002,6
2022-01-02,19,11,25,1196,397,260,221,699,900,1843,124,296,305,2398,215,64,1751,225,54,81,283,1376,595,32,78,121,1149.0890000000002,16
2022-01-03,11,7,10,564,677,110,252,998,467,1532,88,601,146,2514,102,132,2880,245,58,76,304,2890,500,17,72,67,1778.0890000000002,19
2022-01-04,9,6,7,357,812,65,250,1117,282,1529,66,513,86,2334,54,130,2542,171,45,61,336,4272,269,13,64,45,3737.089,34
2022-01-05,8,6,6,283,683,43,233,983,206,1401,52,388,63,2038,37,99,2252,139,39,58,348,3723,204,12,49,33,3676.089,26
2022-01-06,7,5,6,234,458,32,189,680,160,979,41,314,52,1614,30,81,1931,123,36,56,345,3265,190,11,43,30,3188.089,27
2022-01-07,7,5,6,208,455,25,163,641,132,857,35,279,45,1318,26,75,1507,116,35,57,357,2886,175,12,43,30,2822.089,36
2022-01-08,7,5,5,171,455,21,161,635,98,784,27,245,34,1169,17,68,1327,96,32,56,351,2371,153,10,37,27,2407.089,23
2022-01-09,7,6,6,372,452,24,160,638,97,778,23,205,33,1098,16,59,1205,90,31,54,348,2127,139,11,42,29,2007.0890000000002,40
2022-01-10,10,7,10,503,452,32,134,610,118,830,26,302,31,1117,13,53,1156,100,33,55,360,1992,181,15,59,45,1946.0890000000002,71
2022-01-11,8,6,6,282,452,28,122,589,95,741,32,708,30,1523,11,50,1343,85,38,54,406,1971,184,12,54,30,1735.0890000000002,30
2022-01-12,7,5,5,233,354,28,122,497,95,699,31,552,37,1407,9,57,1535,76,35,55,442,2081,160,12,45,27,1647.0890000000002,20
2022-01-13,7,5,5,205,297,22,122,424,102,577,31,461,37,1230,10,73,1413,86,34,55,479,2359,174,11,58,27,1860.0890000000002,18
2022-01-14,7,5,5,186,248,19,95,357,94,549,31,397,26,1105,10,88,1254,86,34,55,525,2346,158,11,49,26,2062.089,17
2022-01-15,7,5,5,160,215,15,78,299,84,430,31,348,22,934,8,73,1135,85,32,56,497,2188,161,10,46,25,1989.0890000000002,14
2022-01-16,6,5,4,132,216,13,66,287,54,391,22,295,15,769,7,61,937,59,28,55,476,1919,125,9,25,23,1766.0890000000002,16
2022-01-17,31,25,29,137,216,16,56,280,67,378,15,236,20,705,9,52,839,69,34,58,415,1690,236,56,97,125,1503.0890000000002,93
2022-01-18,15,9,11,129,215,15,55,276,77,394,19,221,39,699,16,55,818,98,36,66,384,1593,488,25,126,69,1464.0890000000002,70
2022-01-19,11,7,8,122,215,15,55,276,70,375,22,254,31,720,13,66,857,95,34,60,537,1794,336,20,91,45,1659.0890000000002,67
2022-01-20,32,17,22,146,214,14,41,266,79,403,38,254,33,748,13,85,864,86,39,63,522,1873,378,50,203,106,1827.0890000000002,153
2022-01-21,19,9,11,111,190,12,34,235,53,342,43,292,26,754,13,86,912,78,68,67,644,1971,549,31,218,75,1924.0890000000002,79
2022-01-22,11,7,7,92,177,13,34,218,43,285,33,249,20,680,12,114,860,71,55,62,610,2038,302,20,129,47,1970.0890000000002,37
2022-01-23,12,6,6,103,177,11,34,219,61,317,32,214,31,680,14,96,802,77,48,60,665,1941,241,23,131,38,1799.0890000000002,27
2022-01-24,10,6,6,99,176,10,34,218,66,323,34,268,33,720,16,93,842,87,45,61,714,1980,247,18,100,34,1888.0890000000002,22
2022-01-25,10,6,6,94,154,9,34,198,59,311,31,253,26,705,14,92,842,86,42,60,650,2026,218,17,82,32,1870.0890000000002,20
2022-01-26,9,6,5,83,138,8,33,177,46,260,29,228,20,613,10,91,775,68,40,59,641,1941,186,15,74,29,1781.0890000000002,17
2022-01-27,9,5,5,69,138,6,27,171,35,231,21,215,18,540,7,74,677,51,38,57,546,1739,144,14,61,27,1516.0890000000002,14
2022-01-28,8,5,5,86,137,8,25,168,51,248,22,178,28,543,11,63,647,60,37,56,494,1577,166,13,70,27,1415.0890000000002,12
2022-01-29,8,5,5,74,137,8,24,167,42,240,19,163,24,510,10,60,613,62,36,57,513,1568,158,13,54,27,1278.0890000000002,13
2022-01-30,7,5,5,67,119,7,24,151,33,218,15,146,16,442,8,56,531,51,34,55,470,1367,112,14,45,25,1055.0890000000002,15
2022-01-31,6,5,4,70,109,7,24,138,41,216,17,137,23,415,10,51,497,62,33,54,427,1275,139,11,56,25,854.0890000000002,11
2022-02-01,6,5,4,65,109,6,24,138,35,198,15,137,20,424,9,50,540,60,32,54,479,1285,132,11,42,24,994.0890000000002,10
2022-02-02,7,5,5,64,108,7,24,137,34,197,16,136,21,436,8,50,519,58,31,54,415,1269,132,10,43,24,1037.0890000000002,10
2022-02-03,15,10,11,132,109,21,25,146,66,235,32,168,43,494,15,60,552,117,45,62,449,1388,202,26,76,53,1052.0890000000002,29
2022-02-04,31,16,24,802,142,131,30,208,613,1056,215,867,470,2191,409,363,1922,955,234,166,635,2029,1437,56,290,102,1964.0890000000002,242
2022-02-05,19,9,14,363,185,89,73,278,449,1004,207,3112,301,4851,240,1098,5858,754,251,185,2063,7903,1205,36,317,81,5934.089,129
