date_time,unity,cattail,hawlings,kitzmiller,barnum,barton,bloomington,luke,wills,nbp_cumb,patterson,sbr,town,pawpaw,sideling,cacapon,hancock,conoco,opequon,antietam,shen_mill,por,monoc_jug,bennett,goose,seneca,lfalls,cedar
2022-01-01,9,7,7,502,202,138,140,378,366,677,24,151,21,677,13,41,665,74,31,56,280,1103,134,14,32,38,594.2600000000001,7
2022-01-02,20,12,26,1247,413,271,230,728,938,1921,129,308,318,2499,225,67,1825,235,56,84,295,1434,620,33,81,127,1214.2600000000002,17
2022-01-03,11,7,10,588,706,114,262,1040,487,1596,92,626,153,2620,107,137,3002,255,60,79,317,3011,522,18,75,69,1869.2600000000002,20
2022-01-04,9,6,8,372,846,68,260,1164,294,1593,69,534,90,2433,56,135,2649,178,47,64,350,4452,280,14,67,47,3911.26,35
2022-01-05,8,6,6,294,712,45,242,1024,214,1460,54,404,66,2124,39,104,2347,144,40,60,363,3880,213,13,52,35,3847.26,27
2022-01-06,8,6,6,244,477,33,197,709,167,1021,43,328,54,1682,32,85,2013,128,37,59,359,3403,198,12,45,31,3338.26,28
2022-01-07,8,6,6,217,474,26,170,668,137,894,37,291,47,1374,27,79,1571,121,37,60,372,3008,183,12,45,31,2957.26,37
2022-01-08,7,5,5,178,474,22,168,661,102,817,28,255,35,1218,18,71,1383,100,34,58,366,2471,160,11,38,28,2524.26,24
2022-01-09,8,6,7,388,471,25,167,665,101,811,24,213,34,1145,16,61,1256,94,32,57,363,2216,144,11,44,30,2108.26,41
2022-01-10,10,7,11,525,471,33,140,636,123,865,28,315,32,1164,13,55,1205,104,34,58,375,2077,189,16,61,46,2044.2600000000002,74
2022-01-11,8,6,7,294,471,29,127,614,99,773,34,738,31,1587,12,52,1399,88,39,56,423,2054,192,13,57,32,1825.2600000000002,32
2022-01-12,8,5,6,243,369,29,127,518,99,728,32,576,39,1466,9,59,1600,80,37,57,461,2169,167,13,47,28,1732.2600000000002,20
2022-01-13,8,5,5,213,310,23,127,442,107,601,32,480,38,1282,11,76,1472,90,36,58,499,2458,181,12,60,28,1955.2600000000002,19
2022-01-14,7,5,5,194,259,20,99,372,98,572,32,413,27,1151,11,92,1307,89,35,57,547,2445,164,12,51,27,2165.26,18
2022-01-15,7,5,5,167,224,16,81,312,87,448,32,363,23,973,9,76,1183,89,33,59,518,2280,168,10,48,26,2088.26,15
2022-01-16,7,5,4,137,225,14,69,300,56,407,23,307,15,801,7,63,976,61,29,57,496,2000,130,10,26,24,1856.2600000000002,16
2022-01-17,32,26,31,143,225,17,58,292,70,394,15,245,21,735,9,54,874,72,35,61,432,1762,246,59,101,131,1583.2600000000002,97
2022-01-18,16,10,11,135,224,16,58,288,80,410,20,230,41,728,16,57,852,102,38,69,401,1660,509,26,132,72,1541.2600000000002,73
2022-01-19,12,8,8,127,224,16,58,288,73,391,23,264,32,750,14,69,894,99,35,63,560,1870,350,20,95,46,1745.2600000000002,69
2022-01-20,33,18,23,152,223,14,43,277,82,420,40,265,34,779,13,89,900,90,41,65,544,1953,394,52,212,110,1920.2600000000002,160
2022-01-21,20,9,11,116,198,12,35,245,56,356,45,304,27,785,13,90,951,81,71,69,671,2054,572,33,227,79,2022.2600000000002,82
2022-01-22,11,7,7,95,184,13,35,227,45,297,35,259,21,709,12,119,897,74,57,65,636,2124,315,21,135,49,2069.26,38
2022-01-23,12,6,7,107,184,12,35,228,64,331,34,223,32,709,15,100,836,80,50,63,693,2022,252,24,136,40,1891.2600000000002,28
2022-01-24,11,6,6,103,184,11,35,227,68,337,35,279,34,750,17,97,878,91,46,64,744,2064,258,19,104,35,1984.2600000000002,23
2022-01-25,10,6,6,98,161,9,35,207,61,324,33,263,27,735,14,96,878,90,44,63,677,2112,227,18,86,33,1964.2600000000002,21
2022-01-26,9,6,6,87,144,8,35,184,48,271,31,238,21,639,10,95,808,71,42,61,668,2022,194,15,77,31,1872.2600000000002,18
2022-01-27,9,6,5,72,143,6,28,178,37,240,22,224,19,563,7,78,706,53,40,59,569,1813,150,15,63,28,1596.2600000000002,14
2022-01-28,8,6,5,89,143,9,26,175,53,259,23,186,29,566,11,66,674,63,38,58,515,1644,173,14,73,28,1491.2600000000002,12
2022-01-29,8,6,5,77,143,8,25,174,44,250,20,170,25,531,10,63,639,64,38,59,534,1635,165,13,57,28,1348.2600000000002,13
2022-01-30,8,5,5,70,124,7,25,157,35,227,16,152,17,461,8,59,553,53,35,57,490,1425,117,14,46,26,1115.2600000000002,16
2022-01-31,7,5,4,73,114,7,25,144,43,225,18,143,24,432,11,53,518,65,34,56,445,1329,145,12,58,26,905.2600000000001,12
2022-02-01,7,5,4,68,114,7,25,143,37,207,15,143,21,442,9,52,563,62,34,57,499,1339,138,11,44,25,1052.2600000000002,10
2022-02-02,8,5,5,66,113,7,25,143,36,205,17,142,22,455,9,52,541,60,32,56,432,1323,137,11,45,25,1096.2600000000002,10
2022-02-03,16,11,12,138,114,22,26,152,69,245,34,175,45,515,16,63,576,122,46,64,467,1447,211,27,80,55,1112.2600000000002,30
2022-02-04,32,17,25,836,148,136,31,217,639,1100,224,903,490,2283,426,378,2003,995,244,173,661,2115,1498,59,302,106,2063.26,252
2022-02-05,20,10,14,378,192,93,76,290,467,1046,216,3244,314,5056,250,1145,6106,785,261,192,2150,8236,1256,37,331,84,6200.26,135
2022-02-06,13,7,9,259,193,54,105,310,279,782,149,1851,160,3466,119,617,4961,464,127,143,3721,12084,566,24,184,52,12115.26,62
2022-02-07,12,7,8,217,192,38,106,307,204,649,119,1148,110,2388,75,410,3212,363,92,124,2671,8904,420,21,143,41,10748.26,42
2022-02-08,11,6,7,190,192,30,105,304,165,579,100,817,87,1854,55,314,2395,305,78,115,1968,6583,372,20,127,37,7568.26,36
2022-02-09,10,6,6,170,172,25,105,288,137,522,83,633,68,1530,41,256,1956,264,69,113,1561,5311,328,18,107,34,5755.26,29
2022-02-10,10,6,6,182,133,24,90,235,139,471,75,522,65,1329,38,217,1682,242,65,104,1320,4388,300,17,96,32,4642.26,25
2022-02-11,9,6,6,180,134,23,82,228,139,442,67,452,61,1192,35,194,1501,225,61,97,1123,3816,283,16,85,31,3879.26,27
2022-02-12,9,6,6,211,134,26,82,230,160,458,60,394,58,1113,33,172,1371,211,59,92,1002,3371,262,15,77,30,3434.26,24
2022-02-13,9,6,6,203,134,27,82,229,166,464,54,359,56,1088,32,155,1310,200,56,89,903,3059,259,15,73,32,3116.26,27
2022-02-14,9,6,6,166,134,24,81,226,149,439,48,331,49,1014,29,140,1240,183,54,85,843,2856,250,14,71,31,2829.26,27
2022-02-15,8,6,5,141,134,29,68,214,121,391,41,294,36,906,19,124,1129,152,51,81,795,2684,215,13,60,28,2623.26,22
2022-02-16,8,6,5,139,134,25,59,205,114,375,38,257,40,827,24,104,1011,144,48,79,770,2471,191,13,57,28,2403.26,21
2022-02-17,8,6,6,209,136,32,60,218,134,385,38,259,42,792,25,100,954,152,48,78,716,2274,191,13,56,29,2184.26,21
2022-02-18,9,6,6,868,175,158,66,294,448,979,119,432,278,1806,189,134,1555,426,52,92,690,2226,359,14,59,33,2028.2600000000002,21
2022-02-19,8,5,5,372,197,96,104,324,331,862,126,1215,188,2566,149,212,2821,442,52,100,684,3530,506,12,54,29,2308.26,19
2022-02-20,8,5,5,272,197,57,122,331,240,735,105,954,120,2245,88,220,2776,318,47,85,681,4929,280,11,48,27,4133.26,17
2022-02-21,8,5,5,241,196,40,122,328,193,649,91,716,94,1819,62,187,2223,269,46,82,735,4611,227,11,45,26,4483.26,16
2022-02-22,8,5,5,222,273,33,121,398,165,617,79,579,78,1555,49,168,1886,248,45,81,735,3911,222,12,46,26,3911.26,16
2022-02-23,8,6,6,216,314,32,120,445,156,700,70,499,70,1488,42,153,1698,241,46,84,728,3434,251,13,48,28,3402.26,9
2022-02-24,7,6,5,185,313,26,120,442,132,655,60,458,58,1386,33,141,1625,218,45,82,709,3180,256,11,48,26,3084.26,10
